id,survey_time,mturk_time,bonus
1,5074,5275,3.41744
2,1961,3782,3.47696
3,1825,2386,3.13228
4,756,1109,2.62814
5,2196,2971,4.2318
6,3061,3500,3.65002
7,2388,3350,3.0197
8,2219,2500,3.8051200000000005
9,1792,2409,3.49126
10,1559,4710,3.1957999999999998
11,1295,3328,2.9191600000000006
12,2190,2327,3.36276
13,1163,NA,3.80806
14,1131,1437,3.3037400000000003
15,2478,3505,3.5848400000000002
16,1044,4446,2.5291200000000003
17,1090,1931,3.2634200000000004
18,1272,1448,2.3959
19,1070,3733,4.5291
20,2834,3588,2.994
21,1744,1904,3.1593600000000004
22,1492,2910,3.52844
23,1773,3847,3.92694
24,1251,1583,2.71594
25,1938,3087,3.31042
26,691,1601,2.92844
27,2371,4680,3.42978
28,1568,1779,2.54128
29,1102,1256,3.23372
30,1824,5100,3.24632
31,2203,2450,3.40492
32,1613,2264,3.41936
33,793,NA,3.72676
34,1499,4871,3.0164
35,662,1757,2.9860800000000003
36,3320,3459,4.13812
37,1814,3069,3.7694400000000003
38,2565,2700,2.6728000000000005
39,950,2760,2.30452
40,2198,3014,3.45032
41,3218,3892,2.61122
42,1595,2210,3.15134
43,4588,5230,4.07212
44,2146,2265,3.17462
45,2857,NA,3.66012
46,1140,NA,3.36538
47,1344,2553,3.93628
48,777,4706,3.88956
49,1300,NA,3.19674
50,2086,3227,3.2216000000000005
51,2165,2452,3.82776
52,2438,3710,3.79038
53,3217,3630,3.8318000000000003
54,1824,3441,3.50166
55,3785,4008,3.1455
56,1399,3594,3.91918
57,1087,1930,3.498
58,1152,4310,3.4906800000000002
59,4119,5159,3.54544
60,1295,2228,3.0897
61,2328,2654,2.57784
62,2905,3301,2.95066
63,1894,5135,3.73244
64,1186,1828,3.5894000000000004
65,1389,2510,2.92616
66,2369,2599,3.90396
67,1525,1697,3.64406
68,669,872,2.12712
69,2649,NA,3.1595
70,1431,2349,3.51896
71,1322,1471,2.66798
72,931,1066,2.8023
73,808,2832,3.17118
74,4308,4716,3.6999
75,1040,2882,4.01302
76,1681,1905,3.65172
77,659,1239,3.9507
78,1649,2045,3.47088
79,3108,4858,4.1436
80,1501,2373,3.1459
81,684,2067,3.58094
82,2831,3252,3.72672
83,1183,3159,3.13906
84,1166,1452,3.0318200000000006
85,569,748,2.8324800000000003
86,1228,2410,3.65148
87,1759,1888,3.3810800000000003
88,2732,3100,3.97178
89,2886,3140,3.81228
90,1544,1748,3.446
91,4167,4744,3.56906
92,1246,2302,3.6342600000000003
93,2183,2604,3.62788
94,806,3310,3.84144
95,1138,NA,3.07792
96,1656,1802,3.3436200000000005
97,1044,3393,3.71064
98,911,1060,2.3700600000000005
99,1067,2598,4.030620000000001
100,1623,4874,2.72732
101,1600,4234,3.64228
102,1074,4660,3.60982
103,1431,1567,3.5535
104,1111,3490,2.6972
105,1070,2540,3.63022
106,2873,3056,3.7405
107,1546,NA,3.2625
108,991,2819,3.66046
109,1468,1992,3.20962
110,1441,3206,3.82784
111,2181,2527,3.5963000000000003
112,984,1641,2.96732
113,1391,4199,3.5899600000000005
114,587,3619,2.72486
115,1618,4229,3.33264
116,1074,1851,3.46766
117,1384,2888,4.111
118,1216,5309,3.70434
119,2155,2335,3.55558
120,2573,3464,3.5145800000000005
121,1388,3417,3.87172
122,1130,2682,1.87652
123,2262,2584,3.7315
124,1963,3961,3.87238
125,1893,2377,3.26012
126,1012,2085,3.95424
127,793,2338,2.10942
128,1422,2918,3.35732
129,795,3215,3.56734
130,2919,3036,2.29126
131,2775,4309,3.71364
132,1841,1956,3.26226
133,1067,2558,2.62432
134,1012,3027,3.18522
135,3090,4233,3.3559400000000004
136,1793,3237,3.6898800000000005
137,1091,1560,3.89768
138,1302,1922,3.54792
139,2110,3374,3.44788
140,1499,3663,2.9566
141,2188,2464,4.05462
142,2281,3258,2.99664
143,709,NA,2.61626
144,1495,1605,3.0695
145,1449,1622,3.03416
146,1047,2648,3.69846
147,2223,NA,3.71728
148,1141,4364,2.42952
149,1413,4192,2.4028
150,1297,1623,2.6775200000000003
151,722,2998,3.54812
152,1386,2839,3.19546
153,1585,2010,3.36036
154,2801,2869,4.24086
155,1167,1353,3.6063
156,1352,3358,3.1302000000000003
157,1525,1734,3.43122
158,946,1171,3.56572
159,2675,5008,3.29562
160,2493,3717,3.69254
161,1721,1903,3.3165
162,1631,2835,3.3888
163,3725,4937,3.3704
164,6214,NA,3.7157
165,1113,NA,3.17122
166,2503,2795,3.21686
167,1510,1972,4.03506
168,2274,4878,4.166
169,900,1975,3.57976
170,1937,4130,3.5792200000000003
171,1829,2772,3.3429
172,1191,1343,3.1755000000000004
173,1521,5120,3.3495
174,995,2171,3.00404
175,1089,1774,2.26906
176,2146,2454,3.29448
177,1175,2087,3.1935
178,1466,2387,2.95464
179,1293,1447,2.62358
180,2157,4669,3.7812200000000002
181,2270,4791,4.01462
182,917,1433,3.37798
183,757,2172,3.67474
184,1980,2170,3.6745
185,1282,1464,2.68414
186,1976,2220,3.686
187,2043,2218,2.91812
188,2183,3828,2.3677
189,1416,2939,3.7397
190,471,591,3.44044
191,1923,3489,3.015
192,1224,1357,3.07494
193,2867,NA,3.67178
194,1368,2866,3.45858
195,3475,3941,2.9873200000000004
196,1682,1883,3.90354
197,1782,NA,3.4005
198,1917,2738,3.30906
199,734,4970,2.82892
200,2256,3351,3.7397400000000003
201,1505,3759,2.6478400000000004
202,775,1064,3.0452000000000004
203,1025,1574,3.3821
204,2178,2269,3.04672
205,705,4584,2.6898600000000004
206,1565,3069,4.28666
207,3043,3398,3.26762
208,1896,4065,4.15396
209,1998,2296,3.9131
210,1179,2016,3.8476
211,3094,3419,3.27702
212,772,2418,3.33078
213,1115,5111,3.55412
214,688,864,4.17094
215,1854,2502,3.8627000000000002
216,1210,1391,3.388
217,2364,2502,3.50818
218,1727,2963,2.7888400000000004
219,1708,2181,3.68102
220,2507,2658,3.5839
221,1156,2887,3.85428
222,1675,4028,3.4468
223,1719,3027,3.10086
224,804,1078,2.4600999999999997
225,512,5156,2.8222400000000003
226,3292,4074,3.39166
227,2132,2836,4.19688
228,2166,2530,3.0591000000000004
229,1998,2060,3.8747
230,1636,3196,3.0981
231,1745,2018,2.91838
232,2704,3109,4.1413
233,1589,2081,3.5492600000000003
234,1820,3091,3.18464
235,2073,3369,3.30182
236,1074,5056,3.3202800000000003
237,2074,2215,4.1145
238,1570,1767,3.4204
239,1553,1956,2.96856
240,1865,2099,2.4957
241,2155,5045,3.13308
242,1481,2094,2.95104
243,2566,3243,2.97026
244,1929,2505,3.8108200000000005
245,1036,1130,3.4384
246,1457,4099,3.6788600000000002
247,2332,3365,3.43678
248,570,687,3.3696400000000004
249,1371,1474,3.80044
250,753,1028,3.2795
251,526,4972,1.83396
252,1478,2020,3.1818400000000002
253,1002,2549,3.63682
254,588,1417,3.0898000000000003
255,2605,3018,2.9955600000000002
256,1665,1932,3.33204
257,1303,4507,4.14366
258,1255,1356,3.2956800000000004
259,1419,1564,3.6256399999999998
260,3723,4750,3.65054
261,3604,4161,3.68906
262,2945,3205,3.0662000000000003
263,2295,3746,3.10126
264,2953,4952,3.68662
265,714,984,3.33734
266,1297,3508,3.4200600000000003
267,2120,2832,4.10142
268,2664,3000,3.7112000000000003
269,3573,4244,3.573
270,988,5379,3.5955000000000004
271,1567,3925,3.33416
272,1037,4354,3.25196
273,1632,2508,3.12366
274,917,1069,3.1039
275,1193,2304,3.7798800000000004
276,1891,1977,3.9402600000000003
277,2286,5126,3.32032
278,857,1717,2.91588
279,838,2291,3.51724
280,1008,1248,3.3021400000000005
281,1930,NA,3.61708
282,1439,3643,3.77626
283,1414,3150,3.38564
284,1115,1356,3.2265400000000004
285,908,4877,3.1130000000000004
286,2199,2505,3.03172
287,2254,2412,2.9512400000000003
288,1182,NA,3.4257600000000004
289,1805,2436,3.07662
290,753,2276,3.49014
291,4432,4712,3.4536800000000003
292,1313,3569,3.11158
293,2783,4182,3.9431000000000003
294,829,1391,2.9896000000000003
295,1398,2223,3.8469000000000007
296,1366,3622,3.12784
297,3395,NA,3.10398
298,759,2736,3.60626
299,971,1183,3.68452
300,1793,4261,3.4792000000000005
301,3017,3470,3.04466
302,1869,3284,3.4465
303,741,1389,3.04838
304,2764,3750,3.00718
305,1952,4629,2.98566
306,1441,3113,3.5602
307,1956,2566,3.293
308,1013,1368,2.598
309,1517,4210,3.4587000000000003
310,1055,1739,2.95392
311,592,887,3.14694
312,2176,4415,3.57208
313,1762,3855,3.2974000000000006
314,579,652,2.68976
315,883,3330,3.02718
316,811,977,2.89206
317,1758,NA,3.94328
318,755,1193,3.25074
319,1489,2754,2.865
320,918,1129,2.4906800000000002
321,2247,NA,3.4205000000000005
322,1299,1453,3.3277400000000004
323,1781,1308,3.00448
324,1615,2179,2.4376800000000003
325,2130,2958,3.0971
326,1210,1330,3.75022
327,1522,1672,3.631
328,1295,3531,3.861
329,1371,3189,3.20788
330,2415,5102,3.99128
331,4809,5334,4.12488
332,926,1056,3.08242
333,2361,2490,3.38346
334,435,630,2.94508
335,980,1294,3.47734
336,1059,1470,3.65552
337,1393,1763,3.8745000000000003
338,1205,1315,2.9366000000000003
339,1109,1369,3.94642
340,975,1831,3.3518000000000003
341,498,1863,2.24388
342,2303,2582,2.23412
343,1609,2273,3.82448
344,1650,4705,4.11238
345,1503,2815,3.74658
346,1314,1468,2.48414
347,1395,1697,3.63686
348,1552,2280,2.84394
349,1758,2083,3.29114
350,2619,2842,2.33042
351,1644,2823,3.50476
352,1379,1662,3.61998
353,3059,3590,3.6855
354,1409,2276,3.68874
355,2395,2834,3.49146
356,1045,3200,1.86144
357,1096,2872,2.99524
358,3485,4067,3.4820400000000005
359,2591,2808,2.73094
360,1517,2460,3.1824000000000003
361,1591,4057,3.56402
362,1854,5368,4.10472
363,929,NA,3.08156
364,3033,3292,2.19728
365,2424,3852,3.2201
366,612,756,2.6683600000000003
367,2986,3391,3.68372
368,915,984,3.95376
369,2129,3862,3.041
370,1392,2595,3.2042
371,2181,2960,3.639
372,1157,4647,3.08644
373,960,1096,2.88756
374,1277,2926,3.8759000000000006
375,1306,NA,3.43194
376,1597,3158,3.0605200000000004
377,1631,1777,3.85348
378,2221,3339,3.9607800000000006
379,1791,1931,3.455
380,732,1530,3.21742
381,3825,4921,3.859
382,1615,5144,2.9934200000000004
383,2457,3534,3.25034
384,1186,3001,4.18522
385,538,701,2.50618
386,2876,3259,4.21698
387,1146,2079,2.99088
388,729,2322,2.4208
389,1404,1649,3.14856
390,733,4933,2.47928
391,1827,2475,3.10342
392,1579,1787,3.6641199999999996
393,2897,4900,4.05036
394,2029,NA,3.01624
395,1645,4565,3.6029400000000003
396,629,861,3.1942000000000004
397,2076,NA,3.40504
398,1413,1592,3.26166
399,1705,4619,2.9218800000000003
400,677,1136,2.76796
401,2725,5136,2.92244
402,510,3481,3.6459600000000005
403,1179,1488,2.85398
404,2827,3519,3.39064
405,2220,2719,2.99792
406,1616,2161,3.0942800000000004
407,1711,4566,4.09
408,940,1811,3.37662
409,1482,4769,3.10994
410,906,2095,2.76226
411,1334,1730,2.1758
412,945,1369,3.85716
413,3910,4716,3.16408
414,1812,NA,3.556
415,1357,1455,4
416,1482,2174,3.32712
417,1115,1274,2.8113
418,3698,3889,3.39872
419,3496,5022,3.73256
420,1060,1142,3.80348
421,1939,2155,3.2279
422,753,1894,2.94632
423,1154,1228,3.70788
424,974,1118,2.80726
425,1968,3171,2.58314
426,1842,3525,3.17476
427,1660,2436,3.90232
428,714,1006,2.66392
429,578,740,2.8520600000000003
430,775,3554,2.5979200000000002
431,1008,2388,2.80094
432,801,3580,4.02146
433,1878,2666,3.16828
434,1059,4494,3.35392
435,1237,1400,3.07988
436,932,1031,2.2823
437,1538,2117,3.8230000000000004
438,2254,2798,3.51472
439,1289,5340,3.89898
440,1841,NA,3.26722
441,2023,3053,3.835
442,2371,4685,2.1081200000000004
443,1446,4213,3.145
444,2142,5029,4.026120000000001
445,1005,1447,2.79328
446,1092,1177,3.1653
447,531,1165,3.41168
448,1675,4163,2.69718
449,1304,NA,3.73988
450,1679,2662,2.77118
451,875,2919,2.66658
452,1012,1149,3.14562
453,1320,4265,3.3097
454,2233,3966,3.36632
455,1342,2439,3.58116
456,1613,1758,3.075
457,3630,3425,4.21388
458,1547,1821,3.48018
459,1036,3820,2.88558
460,2664,2869,3.116
461,2164,3062,2.82354
462,818,1878,3.16074
463,1299,4253,3.3471
464,1546,2359,3.61428
465,1264,1505,2.6871800000000006
466,1011,5386,3.0258200000000004
467,1983,5208,3.44252
468,2735,2966,2.96326
469,725,797,3.97122
470,2460,3086,3.77294
471,1365,2261,3.8156800000000004
472,2392,3028,3.59108
473,2243,4048,3.7042800000000002
474,989,2973,3.45636
475,1255,1806,3.1328
476,683,3805,3.67016
477,1070,4901,3.34018
478,2006,2142,3.42172
479,3063,5144,3.1502800000000004
480,860,3391,3.85576
481,1769,1953,2.76642
482,1654,5257,3.80964
483,1551,2849,3.12884
484,429,540,2.74132
485,1911,2358,4.2949
486,1884,2662,3.22786
487,1229,1282,3.74496
488,874,1422,3.00106
489,2042,2308,3.10088
490,1908,3198,3.0858
491,1545,4363,3.57456
492,1614,NA,3.05734
493,704,865,3.4565
494,3341,4053,3.2981800000000003
495,830,2438,2.4045000000000005
496,986,1523,2.4010800000000003
497,1124,1618,3.4783999999999997
498,1672,1745,3.8217
499,1254,2143,2.79774
500,1484,5024,3.66648
501,1071,1343,3.06294
502,1095,NA,2.6631
503,2522,NA,3.38948
504,1544,1654,3.4555
505,1378,1896,2.37462
506,1018,2068,2.98468
507,837,954,2.94626
508,1555,4458,3.1352
509,1306,1434,3.3728000000000007
510,2363,2765,3.43098
511,2574,NA,3.5207200000000003
512,1570,2686,2.742
513,1095,NA,4.03512
514,3505,3942,3.56924
515,1221,2427,3.32016
516,2134,2457,3.2681000000000004
517,1397,2613,3.47684
518,2184,3229,3.90186
519,2362,4603,4.140980000000001
520,1040,1790,3.3851400000000003
521,1596,3925,3.56242
522,1805,3879,3.9704800000000002
523,824,1109,3.40304
524,2473,4474,3.79572
525,1332,1647,2.45008
526,1809,1989,3.7418199999999997
527,1307,1845,3.4417400000000002
528,2722,3104,3.6191400000000007
529,761,2750,3.55584
530,3292,4762,2.85038
531,1757,NA,3.8048
